weekday,shift,station,operator_id,last_station,total,ng_count,avg_cycle_time,first_date,last_date,ng_rate,is_anomaly,reason
Monday,Night,M326,041708500000,Str1,4,2,1962.5,2025-05-19 04:03:31,2025-05-19 04:37:38,0.5,False,🔴 Scarto: 50% | 🐢 Ciclo: 1962s | ⚠️ Pochi moduli
Monday,Night,M326,041708500000,Str5,5,2,528.2,2025-05-19 03:19:22,2025-05-19 04:31:24,0.4,False,🔴 Scarto: 40% | 🐢 Ciclo: 528s
Monday,Night,M326,041979300000,Str1,1,0,115.0,2025-05-19 02:31:12,2025-05-19 02:31:12,0.0,False,⚠️ Pochi moduli
Monday,Night,M326,041979300000,Str5,7,0,652.8571428571429,2025-05-19 01:53:38,2025-05-19 03:04:45,0.0,False,🐢 Ciclo: 652s
Saturday,Afternoon,M308,BADGE SYS DISABLED,Str1,99,5,55.62626262626262,2025-05-17 14:27:10,2025-05-17 20:19:26,0.050505050505050504,False,
Saturday,Afternoon,M308,BADGE SYS DISABLED,Str3,16,11,43.25,2025-05-17 16:57:11,2025-05-17 17:59:51,0.6875,False,🔴 Scarto: 69%
Saturday,Afternoon,M308,BADGE SYS DISABLED,Str5,93,4,48.82795698924731,2025-05-17 14:59:14,2025-05-17 20:20:15,0.043010752688172046,False,
Saturday,Afternoon,M309,BADGE SYS DISABLED,Str1,11,10,177.45454545454547,2025-05-17 16:32:32,2025-05-17 16:42:26,0.9090909090909091,False,🔴 Scarto: 91% | 🐢 Ciclo: 177s
Saturday,Afternoon,M309,BADGE SYS DISABLED,Str3,10,10,152.0,2025-05-17 16:37:03,2025-05-17 16:37:03,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 152s
Saturday,Afternoon,M326,,Str1,2,0,1199.5,2025-05-17 15:31:48,2025-05-17 16:18:08,0.0,False,🐢 Ciclo: 1199s | ⚠️ Pochi moduli
Saturday,Afternoon,M326,041926500000,Str1,1,0,10021.0,2025-05-17 18:52:34,2025-05-17 18:52:34,0.0,False,🐢 Ciclo: 10021s | ⚠️ Pochi moduli
Saturday,Afternoon,M326,041926500000,Str5,1,0,4631.0,2025-05-17 16:50:25,2025-05-17 16:50:25,0.0,False,🐢 Ciclo: 4631s | ⚠️ Pochi moduli
